Time,Date,Latitude,Longitude,Serving Cell RSRP (dBm),Serving Cell RS SINR (dB),Serving Cell RSRQ (dB),Serving Cell Identity
34:47.0,2/29/2024,18.3080741,42.7540493,-95.7,,-12.8,205
34:47.1,2/29/2024,18.3080733,42.7540557,-99.8,,-13.5,274
34:47.2,2/29/2024,18.3080728,42.7540598,-99.8,,-13.5,274
34:47.2,2/29/2024,18.3080724,42.7540633,-98.4,0.8,-15.4,205
34:47.7,2/29/2024,18.3080691,42.7540904,-91.9,-1.7,-18.2,115
34:47.8,2/29/2024,18.3080683,42.7540967,-99.4,3.4,-12.9,274
34:48.1,2/29/2024,18.3080667,42.7541112,-96.1,8.4,-13.5,205
34:48.2,2/29/2024,18.3080657,42.7541199,-96.1,11.9,-12.8,205
34:48.7,2/29/2024,18.3080623,42.7541508,-90.1,2.7,-16.4,115
34:48.8,2/29/2024,18.3080621,42.7541528,-94.1,7.2,-12.4,205
34:48.8,2/29/2024,18.3080617,42.7541563,-99.6,8.1,-13.6,274
34:49.0,2/29/2024,18.3080605,42.7541667,-96.2,7.2,-12.4,205
34:49.0,2/29/2024,18.3080605,42.7541667,-96.2,7.2,-12.4,205
34:49.2,2/29/2024,18.3080591,42.7541793,-98,6.7,-13.3,205
34:49.8,2/29/2024,18.3080554,42.7542132,-89,-4.2,-16.5,115
34:49.8,2/29/2024,18.3080551,42.7542159,-98.8,6.2,-12.4,274
34:50.2,2/29/2024,18.308053,42.7542398,-99.3,8.3,-13.3,205
34:50.8,2/29/2024,18.3080503,42.7542703,-89.4,-2.7,-21.5,115
34:50.8,2/29/2024,18.30805,42.7542728,-101.4,6.9,-12.8,274
34:51.1,2/29/2024,18.3080495,42.7542873,-105.2,2.5,-17.3,205
34:51.2,2/29/2024,18.3080494,42.7542902,-104.7,-0.2,-17.6,205
34:51.3,2/29/2024,18.3080493,42.7542931,-98.4,-0.2,,449
34:51.4,2/29/2024,18.308049,42.754299,-98.4,-0.2,,449
34:51.4,2/29/2024,18.308049,42.7542991,-97.3,-0.2,-13,449
34:51.4,2/29/2024,18.308049,42.7542991,-97.3,-0.2,-13,449
34:51.4,2/29/2024,18.308049,42.7542991,-97.3,-0.2,-13,449
34:51.7,2/29/2024,18.3080485,42.7543137,-87.1,-1.7,-16.9,115
34:51.7,2/29/2024,18.3080485,42.7543142,-94.4,7.9,-13.5,449
34:51.8,2/29/2024,18.3080483,42.7543184,-100.1,5.9,-12,274
34:52.3,2/29/2024,18.3080476,42.7543323,-97.1,3.6,-14.5,449
34:52.3,2/29/2024,18.3080476,42.7543323,-95.9,3.6,-12.4,449
34:52.8,2/29/2024,18.3080467,42.7543511,-96,10.3,-11.3,274
34:52.9,2/29/2024,18.3080467,42.7543527,-84.6,-1.4,-17.9,115
34:53.3,2/29/2024,18.3080467,42.7543632,-97.7,5.7,-12.9,449
34:53.4,2/29/2024,18.3080467,42.7543666,-97.5,4.7,-14.1,449
34:53.6,2/29/2024,18.3080467,42.7543704,-97.8,1.9,-13.2,449
34:53.8,2/29/2024,18.3080467,42.7543751,-81.4,4.5,-14,115
34:53.8,2/29/2024,18.3080467,42.7543763,-95.1,13.1,-10.7,274
34:54.4,2/29/2024,18.3080467,42.7543878,-96.4,6.5,-13.3,449
34:54.6,2/29/2024,18.3080467,42.7543927,-96.9,1.9,-13.7,449
34:54.8,2/29/2024,18.3080467,42.7543974,-94.9,11.2,-11.1,274
34:54.9,2/29/2024,18.3080467,42.7543991,-85.3,0.1,-19.8,115
34:55.2,2/29/2024,18.3080467,42.7544059,-94.9,6.7,-13.5,449
34:55.7,2/29/2024,18.3080467,42.7544161,-79.6,2.9,-13.4,115
34:55.8,2/29/2024,18.3080467,42.754417,-80.4,2.9,,261
34:55.8,2/29/2024,18.3080467,42.754418,-96.4,8.7,-8.5,274
34:55.9,2/29/2024,18.3080465,42.754421,-95.9,-0.1,-15.5,449
34:56.3,2/29/2024,18.3080459,42.7544317,-95.8,2.7,-17.9,449
34:56.3,2/29/2024,18.3080459,42.7544317,-95.4,2.8,-13.7,449
34:56.8,2/29/2024,18.308045,42.7544462,-96.4,8,-9.5,274
34:56.8,2/29/2024,18.308045,42.7544465,-88.1,-6.4,-23.4,261
34:56.9,2/29/2024,18.3080451,42.7544478,-79.1,-1.5,,115
34:57.3,2/29/2024,18.3080457,42.7544592,-93.2,3.3,-13.2,449
34:57.6,2/29/2024,18.3080463,42.7544681,-94.6,-0.3,-14.3,449
34:57.8,2/29/2024,18.3080467,42.7544749,-97.4,10,-7.5,274
34:58.0,2/29/2024,18.308046,42.7544779,-84.5,-1.8,-18.2,115
34:58.0,2/29/2024,18.3080459,42.7544784,-93.9,-0.8,-14.8,449
34:58.3,2/29/2024,18.3080443,42.754486,-94.1,4.6,-14.1,449
34:58.3,2/29/2024,18.3080443,42.754486,-93.2,4.6,-14.3,449
34:58.8,2/29/2024,18.3080417,42.7544983,-81.3,-3,-19.7,115
34:58.9,2/29/2024,18.3080408,42.7544997,-95.1,6.5,-9.9,274
34:59.3,2/29/2024,18.3080376,42.7545052,-92.6,-0.1,-14.9,449
34:59.8,2/29/2024,18.3080323,42.7545139,-81.9,-3.2,-19.7,115
34:59.8,2/29/2024,18.3080319,42.7545146,-92.6,6.4,-10.9,274
35:00.3,2/29/2024,18.3080242,42.7545182,-91.4,-1.9,-15,449
35:00.7,2/29/2024,18.3080159,42.7545218,-82.2,-6.7,-21.9,115
35:00.8,2/29/2024,18.3080145,42.7545223,-94.3,6.2,-9.8,274
35:01.4,2/29/2024,18.3080051,42.7545264,-90.4,3.3,-13.1,449
35:01.7,2/29/2024,18.3079984,42.7545292,-81.9,-2.5,-18.7,115
35:01.8,2/29/2024,18.3079966,42.75453,-94.3,4,-10.6,274
35:02.2,2/29/2024,18.3079882,42.7545306,-80.7,-2.2,-18.5,115
35:02.3,2/29/2024,18.3079857,42.7545307,-89.9,5.1,-15.8,449
35:02.3,2/29/2024,18.3079857,42.7545307,-89.9,5.1,-15.8,449
35:02.4,2/29/2024,18.3079839,42.7545309,-85.4,-4.5,-22.8,115
35:02.4,2/29/2024,18.3079839,42.7545309,-85.4,-4.5,-22.8,115
35:02.4,2/29/2024,18.3079839,42.7545309,-85.4,-4.5,-22.8,115
35:02.7,2/29/2024,18.3079747,42.7545315,-85.9,-4.1,-22.2,115
35:02.8,2/29/2024,18.3079716,42.7545317,-95.8,5,-11,274
35:02.9,2/29/2024,18.307971,42.7545317,-79.2,-4.1,,261
35:03.0,2/29/2024,18.307967,42.7545317,-79.8,8.7,-18.2,261
35:03.1,2/29/2024,18.307965,42.7545317,-79.6,8.7,-18.3,261
35:03.1,2/29/2024,18.3079642,42.7545317,-79.6,8.7,-18.3,261
35:03.3,2/29/2024,18.307959,42.7545317,-91.4,3.2,-16.9,449
35:03.7,2/29/2024,18.3079451,42.7545317,-83.1,-1.7,-20.1,261
35:03.8,2/29/2024,18.3079421,42.7545317,-96.2,3.6,-11.6,274
35:04.0,2/29/2024,18.3079356,42.7545311,-79.8,0.5,,115
35:04.1,2/29/2024,18.3079315,42.7545306,-76.6,0.5,-13.8,115
35:04.2,2/29/2024,18.3079288,42.7545304,-76.2,0.5,-14.8,115
35:04.3,2/29/2024,18.3079277,42.7545303,-76.2,0.5,-14.8,115
35:04.3,2/29/2024,18.3079273,42.7545302,-86.1,11.2,-11.1,449
35:04.5,2/29/2024,18.3079209,42.7545296,-83.3,11.2,-11.6,449
35:04.7,2/29/2024,18.3079128,42.7545288,-74.2,3.4,-17.7,115
35:04.8,2/29/2024,18.30791,42.7545285,-82.6,13.1,-17.9,449
35:04.8,2/29/2024,18.30791,42.7545285,-82.6,13.1,-17.9,449
35:04.8,2/29/2024,18.30791,42.7545285,-82.6,13.1,-17.9,449
35:04.8,2/29/2024,18.30791,42.7545285,-82.6,13.1,-17.9,449
35:04.8,2/29/2024,18.3079084,42.7545283,-96.7,1.9,-13.8,274
35:05.2,2/29/2024,18.3078935,42.7545259,-82.3,10.9,-17.1,449
35:05.2,2/29/2024,18.3078932,42.7545258,-82.3,10.9,-17.1,449
35:05.3,2/29/2024,18.3078913,42.7545255,-81,10.9,-17.2,449
35:05.3,2/29/2024,18.3078897,42.7545252,-79.1,11.4,-19.1,449
35:05.3,2/29/2024,18.3078897,42.7545252,-79.1,11.4,-19.1,449
35:05.3,2/29/2024,18.3078897,42.7545252,-79.1,11.4,-19.1,449
35:05.7,2/29/2024,18.307873,42.7545224,-77.1,7.4,-19.1,115
35:05.7,2/29/2024,18.3078728,42.7545224,-78.4,10.9,-19.4,449
35:05.7,2/29/2024,18.3078727,42.7545224,-78.4,10.9,-19.4,449
35:05.7,2/29/2024,18.3078727,42.7545224,-77.6,10.9,-14.6,449
35:05.8,2/29/2024,18.3078695,42.7545219,-76.9,8.4,-18.6,449
35:05.8,2/29/2024,18.3078695,42.7545219,-76.9,8.4,-18.6,449
35:05.8,2/29/2024,18.3078695,42.7545219,-76.9,8.4,-18.6,449
35:05.8,2/29/2024,18.3078694,42.7545218,-77.8,14,-9.1,449
35:05.8,2/29/2024,18.3078691,42.7545218,-95.1,1.3,-14.9,274
35:06.2,2/29/2024,18.3078527,42.7545192,-77.8,14,-9.1,449
35:06.3,2/29/2024,18.3078496,42.7545187,-78.5,14,-15.6,449
35:06.4,2/29/2024,18.3078466,42.7545182,-79.8,5.9,-9.8,449
35:06.4,2/29/2024,18.3078466,42.7545182,-79.8,5.9,-9.8,449
35:06.4,2/29/2024,18.3078466,42.7545182,-79.8,5.9,-9.8,449
35:06.7,2/29/2024,18.3078315,42.7545158,-78.4,6.5,-17.8,115
35:06.8,2/29/2024,18.3078295,42.7545154,-79.7,6.5,-18.2,449
35:06.8,2/29/2024,18.3078272,42.7545151,-93.1,-0.5,-14.5,274
35:06.9,2/29/2024,18.3078257,42.7545148,-76.6,15.8,-10.1,449
35:06.9,2/29/2024,18.3078257,42.7545148,-76.6,15.8,-10.1,449
35:07.2,2/29/2024,18.3078102,42.7545119,-76.4,10.6,-18.2,449
35:07.3,2/29/2024,18.3078062,42.7545112,-76.4,10.6,-18.2,449
35:07.3,2/29/2024,18.3078062,42.7545112,-76.4,10.6,-18.2,449
35:07.3,2/29/2024,18.3078061,42.7545112,-78.1,10.6,-15.3,449
35:07.4,2/29/2024,18.3078027,42.7545106,-76.3,11.1,-19.1,449
35:07.4,2/29/2024,18.3078027,42.7545106,-76.3,11.1,-19.1,449
35:07.4,2/29/2024,18.3078027,42.7545106,-76.3,11.1,-19.1,449
35:07.7,2/29/2024,18.3077871,42.7545077,-79.9,7,-16,115
35:07.8,2/29/2024,18.3077832,42.7545069,-76.1,12.1,-10.4,449
35:07.8,2/29/2024,18.3077832,42.7545069,-76.1,12.1,-10.4,449
35:07.8,2/29/2024,18.3077818,42.7545067,-76.1,12.1,-16.2,449
35:07.8,2/29/2024,18.3077818,42.7545067,-87.2,-1.6,-14.5,274
35:07.9,2/29/2024,18.3077799,42.7545062,-75.1,6,-18.2,449
35:07.9,2/29/2024,18.3077799,42.7545062,-75.1,6,-18.2,449
35:07.9,2/29/2024,18.3077799,42.7545062,-75.1,6,-18.2,449
35:08.2,2/29/2024,18.3077649,42.7545026,-75.2,6,-17.8,449
35:08.3,2/29/2024,18.3077616,42.7545018,-78.8,6,-15.3,449
35:08.3,2/29/2024,18.3077616,42.7545018,-78.8,6,-15.3,449
35:08.3,2/29/2024,18.3077614,42.7545018,-78.8,6,-15.3,449
35:08.4,2/29/2024,18.3077586,42.7545011,-79.2,6,-15.4,449
35:08.4,2/29/2024,18.3077586,42.7545011,-79.2,6,-15.4,449
35:08.4,2/29/2024,18.3077586,42.7545011,-81.6,9.7,-19.7,449
35:08.7,2/29/2024,18.3077453,42.7544979,-80.1,7.9,-16.7,115
35:08.8,2/29/2024,18.30774,42.7544967,-90.1,6.4,-14.4,274
35:08.9,2/29/2024,18.3077388,42.7544961,-80.3,9.7,-14.8,449
35:08.9,2/29/2024,18.3077388,42.7544961,-80.3,9.7,-14.8,449
35:08.9,2/29/2024,18.3077375,42.7544954,-78.4,6.2,-13.6,449
35:08.9,2/29/2024,18.3077375,42.7544954,-78.4,6.2,-13.6,449
35:08.9,2/29/2024,18.3077375,42.7544954,-78.4,6.2,-13.6,449
35:08.9,2/29/2024,18.3077366,42.754495,-80,5.1,-15.1,449
35:09.2,2/29/2024,18.3077262,42.7544898,-67.9,5.1,-15.1,449
35:09.4,2/29/2024,18.3077176,42.7544854,-75.6,12.1,-6.9,449
35:09.4,2/29/2024,18.3077176,42.7544854,-75.6,12.1,-6.9,449
35:09.5,2/29/2024,18.3077167,42.754485,-78,11.3,-13.9,449
35:09.5,2/29/2024,18.3077167,42.754485,-78,11.3,-13.9,449
35:09.5,2/29/2024,18.3077154,42.7544844,-65.7,11.3,-13.9,449
35:09.5,2/29/2024,18.3077145,42.7544839,-77.8,11.3,-13.8,449
35:09.7,2/29/2024,18.3077084,42.7544809,-85.1,-0.3,,357
35:09.7,2/29/2024,18.3077076,42.7544805,-69.3,9,-17.2,115
35:09.9,2/29/2024,18.3077028,42.7544777,-82.8,12.9,-8.1,357
35:10.0,2/29/2024,18.3077003,42.7544751,-79.6,6.7,-16.9,449
35:10.0,2/29/2024,18.3077003,42.7544751,-79.6,6.7,-16.9,449
35:10.0,2/29/2024,18.3077003,42.7544751,-79.6,6.7,-16.9,449
35:10.0,2/29/2024,18.3077003,42.7544751,-79.6,6.7,-16.9,449
35:10.0,2/29/2024,18.3076997,42.7544745,-83.1,8.4,-17,449
35:10.0,2/29/2024,18.3076983,42.7544729,-80.3,8.4,-15,449
35:10.1,2/29/2024,18.3076969,42.7544715,-80.3,8.4,-15.5,449
35:10.1,2/29/2024,18.3076969,42.7544715,-80.3,8.4,-15.5,449
35:10.2,2/29/2024,18.3076941,42.7544685,-71.8,8.4,-15.5,449
35:10.5,2/29/2024,18.307688,42.7544619,-78.6,3.1,-18.9,449
35:10.5,2/29/2024,18.307688,42.7544619,-78.6,3.1,-18.9,449
35:10.5,2/29/2024,18.307688,42.7544619,-78.6,3.1,-18.9,449
