Time,Date,Latitude,Longitude,Serving Cell SS RSRP (dBm): Top #1,Serving Cell SS RSRQ (dB): Top #1,Serving Cell SS SINR (dB): Top #1,Serving Cell Identity: Top #1
34:47.0,2/29/2024,18.3080741,42.7540493,-105.9,-10.9,17.4,36
34:47.0,2/29/2024,18.308074,42.7540498,-89.2,-10.6,-0.9,552
34:47.0,2/29/2024,18.308074,42.75405,-105.9,-10.9,12.6,36
34:47.0,2/29/2024,18.3080738,42.7540513,-89.2,-10.6,-0.9,552
34:47.0,2/29/2024,18.3080738,42.7540513,-105.9,-10.9,12.6,36
34:47.0,2/29/2024,18.3080738,42.7540513,-105.9,-10.9,12.6,36
34:47.0,2/29/2024,18.3080738,42.7540514,-89.2,-10.6,-2.4,552
34:47.0,2/29/2024,18.3080738,42.7540514,-105.9,-10.9,11.3,36
34:47.0,2/29/2024,18.3080738,42.7540517,-89.2,-10.6,-0.3,552
34:47.0,2/29/2024,18.3080737,42.7540522,-89.2,-10.6,-1.3,552
34:47.0,2/29/2024,18.3080736,42.754053,-105.9,-10.9,17.9,36
34:47.0,2/29/2024,18.3080736,42.7540533,-89.2,-10.6,4.2,552
34:47.1,2/29/2024,18.3080734,42.7540547,-105.9,-10.9,13.4,36
34:47.1,2/29/2024,18.3080734,42.7540548,-89.2,-10.6,-0.1,552
34:47.1,2/29/2024,18.3080733,42.7540558,-89.2,-10.6,0.3,552
34:47.1,2/29/2024,18.3080733,42.7540561,-105.9,-10.9,14.8,36
34:47.1,2/29/2024,18.3080732,42.7540562,-105.9,-10.9,17.4,36
34:47.1,2/29/2024,18.3080731,42.7540573,-89.2,-10.6,0.6,552
34:47.1,2/29/2024,18.3080731,42.7540573,-105.9,-10.9,18.1,36
34:47.1,2/29/2024,18.3080731,42.7540573,-103.3,-10.8,18.1,36
34:47.1,2/29/2024,18.3080731,42.7540576,-89.2,-10.6,2.4,552
34:47.1,2/29/2024,18.3080731,42.7540577,-89.2,-10.6,2.4,552
34:47.2,2/29/2024,18.3080729,42.7540591,-103.3,-10.8,17.3,36
34:47.2,2/29/2024,18.3080729,42.7540591,-89.2,-10.6,0.5,552
34:47.2,2/29/2024,18.3080728,42.7540599,-103.3,-10.8,13,36
34:47.2,2/29/2024,18.3080728,42.7540599,-89.2,-10.6,-1.3,552
34:47.2,2/29/2024,18.3080728,42.75406,-103.3,-10.8,11.8,36
34:47.2,2/29/2024,18.3080726,42.7540618,-89.2,-10.6,-1.4,552
34:47.2,2/29/2024,18.3080725,42.7540622,-89.2,-10.6,-1.4,552
34:47.2,2/29/2024,18.3080724,42.7540631,-89.2,-10.6,-1.9,552
34:47.2,2/29/2024,18.3080724,42.7540633,-103.3,-10.8,8.7,36
34:47.2,2/29/2024,18.3080722,42.7540645,-103.3,-10.8,9.4,36
34:47.2,2/29/2024,18.3080722,42.7540645,-103.3,-10.8,8.5,36
34:47.3,2/29/2024,18.3080722,42.7540646,-89.2,-10.6,-1.7,552
34:47.3,2/29/2024,18.3080721,42.7540654,-89.2,-10.6,12.4,552
34:47.3,2/29/2024,18.308072,42.7540661,-103.3,-10.8,10.8,36
34:47.3,2/29/2024,18.308072,42.7540662,-103.9,-10.8,10.8,36
